corpus,domain,group,scenario_id,criterion,activities,actors,systems,inputs,outputs,decisions,exceptions,automation_opportunities,legacy_overall,process_overall
generic_questions_v1,semiconductor_work,generic,S03,field,0.75,1.0,1.0,0.5,0.75,0.5,0.5,1.0,0.75,0.7143
generic_questions_v1,semiconductor_work,generic,S03,exact,0.25,1.0,1.0,0.5,0.5,0.0,0.5,1.0,0.5938,0.5357
generic_questions_v1,semiconductor_work,generic,S04,document,1.0,1.0,0.75,1.0,1.0,1.0,0.5,1.0,0.9062,0.8929
generic_questions_v1,semiconductor_work,generic,S04,field,0.625,1.0,0.25,1.0,0.8,1.0,0.25,1.0,0.7406,0.7036
generic_questions_v1,semiconductor_work,generic,S04,exact,0.5,1.0,0.25,0.75,0.6,0.0,0.0,1.0,0.5125,0.4429
generic_questions_v1,semiconductor_work,generic,S05,document,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.9375,0.9286
generic_questions_v1,semiconductor_work,generic,S05,field,0.8571,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.9196,0.9082
generic_questions_v1,semiconductor_work,generic,S05,exact,0.1429,1.0,0.75,1.0,0.75,0.0,0.0,1.0,0.5804,0.5204
generic_questions_v1,semiconductor_work,generic,S06,document,1.0,1.0,1.0,0.75,0.75,0.5,0.75,1.0,0.8438,0.8214
generic_questions_v1,semiconductor_work,generic,S06,field,1.0,1.0,1.0,0.75,0.5,0.5,0.0,1.0,0.7188,0.6786
generic_questions_v1,semiconductor_work,generic,S06,exact,0.4286,1.0,1.0,0.5,0.25,0.0,0.0,1.0,0.5223,0.4541
generic_questions_v1,semiconductor_work,generic,S07,document,0.7143,1.0,0.75,1.0,0.75,0.5,0.5,0.6667,0.7351,0.7449
generic_questions_v1,semiconductor_work,generic,S07,field,0.7143,1.0,0.75,1.0,0.75,0.5,0.5,0.6667,0.7351,0.7449
generic_questions_v1,semiconductor_work,generic,S07,exact,0.2857,0.75,0.5,0.75,0.25,0.0,0.0,0.6667,0.4003,0.3622
generic_questions_v1,semiconductor_work,generic,S08,document,1.0,0.6667,1.0,0.75,1.0,1.0,1.0,1.0,0.9271,0.9167
generic_questions_v1,semiconductor_work,generic,S08,field,0.6667,0.0,1.0,0.75,1.0,0.5,1.0,1.0,0.7396,0.7024
generic_questions_v1,semiconductor_work,generic,S08,exact,0.5,0.0,1.0,0.5,1.0,0.5,0.5,1.0,0.625,0.5714
generic_questions_v1,semiconductor_work,gapelicit,S01,document,1.0,1.0,1.0,0.75,0.5,1.0,1.0,1.0,0.9062,0.8929
generic_questions_v1,semiconductor_work,gapelicit,S01,field,0.5,1.0,1.0,0.25,0.5,1.0,0.75,1.0,0.75,0.7143
generic_questions_v1,semiconductor_work,gapelicit,S01,exact,0.0,1.0,1.0,0.25,0.0,0.0,0.0,1.0,0.4062,0.3214
generic_questions_v1,semiconductor_work,gapelicit,S02,document,1.0,0.6667,1.0,0.75,1.0,1.0,1.0,1.0,0.9271,0.9167
generic_questions_v1,semiconductor_work,gapelicit,S02,field,0.7143,0.6667,0.6667,0.75,0.6667,0.6667,0.5,1.0,0.7039,0.6616
generic_questions_v1,semiconductor_work,gapelicit,S02,exact,0.2857,0.6667,0.3333,0.75,0.3333,0.3333,0.0,1.0,0.4628,0.3861
generic_questions_v1,semiconductor_work,gapelicit,S03,document,1.0,0.75,1.0,1.0,1.0,1.0,0.75,1.0,0.9375,0.9286
generic_questions_v1,semiconductor_work,gapelicit,S03,field,0.75,0.75,1.0,0.75,0.75,0.0,0.75,1.0,0.7188,0.6786
generic_questions_v1,semiconductor_work,gapelicit,S03,exact,0.125,0.75,1.0,0.75,0.75,0.0,0.25,1.0,0.5781,0.5179
generic_questions_v1,semiconductor_work,gapelicit,S04,document,0.625,1.0,0.75,1.0,0.6,1.0,0.0,1.0,0.7469,0.7107
generic_questions_v1,semiconductor_work,gapelicit,S04,field,0.625,1.0,0.5,1.0,0.6,0.5,0.0,1.0,0.6531,0.6036
generic_questions_v1,semiconductor_work,gapelicit,S04,exact,0.0,1.0,0.5,1.0,0.4,0.0,0.0,1.0,0.4875,0.4143
generic_questions_v1,semiconductor_work,gapelicit,S05,document,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.9688,0.9643
generic_questions_v1,semiconductor_work,gapelicit,S05,field,0.7143,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.933,0.9235
generic_questions_v1,semiconductor_work,gapelicit,S05,exact,0.0,1.0,1.0,0.75,0.75,0.0,1.0,1.0,0.6875,0.6429
generic_questions_v1,semiconductor_work,gapelicit,S06,document,1.0,1.0,1.0,0.75,1.0,0.5,0.5,1.0,0.8438,0.8214
generic_questions_v1,semiconductor_work,gapelicit,S06,field,0.8571,1.0,1.0,0.25,0.75,0.5,0.25,1.0,0.7009,0.6582
generic_questions_v1,semiconductor_work,gapelicit,S06,exact,0.2857,1.0,1.0,0.25,0.5,0.0,0.25,1.0,0.5357,0.4694
generic_questions_v1,semiconductor_work,gapelicit,S07,document,0.7143,1.0,0.5,1.0,0.75,0.5,0.75,0.6667,0.7351,0.7449
generic_questions_v1,semiconductor_work,gapelicit,S07,field,0.7143,1.0,0.5,1.0,0.75,0.5,0.5,0.6667,0.7039,0.7092
generic_questions_v1,semiconductor_work,gapelicit,S07,exact,0.1429,0.75,0.25,0.75,0.25,0.0,0.0,0.6667,0.3512,0.3061
generic_questions_v1,semiconductor_work,gapelicit,S08,document,1.0,0.6667,1.0,1.0,1.0,1.0,0.25,1.0,0.8646,0.8452
